"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "SQL", "HTML", "XML", "JavaScript React", "comment", "blank", "total"
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\src\Components\stock\Stock.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 47, 0, 10, 57
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\src\Components\stock\stock.css", "CSS", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\src\Components\stock\stockComponents\BalanceSheet.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 17, 0, 3, 20
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\src\Components\stock\stockComponents\Candlestick.js", "JavaScript", 0, 121, 0, 0, 0, 0, 0, 0, 6, 33, 160
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\src\Components\stock\stockComponents\CorporateInfo.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 16, 1, 3, 20
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\src\Components\stock\stockComponents\CorporateNews.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 19, 0, 3, 22
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\src\Components\stock\stockComponents\Filings.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 10, 0, 3, 13
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\src\Components\stock\stockComponents\IncomeStatement.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 19, 0, 7, 26
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\src\Components\stock\stockComponents\KeyDataPoints.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 27, 0, 4, 31
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\src\Components\stock\stockComponents\StockHeader.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 79, 0, 10, 89
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\src\Components\stock\stockComponents\useResizeObserver.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\src\index.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\src\index.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 3, 3, 26
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\src\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\src\redux\reducers\stockReducer.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\src\redux\reducers\stocksOwnedReducer.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 1, 3, 26
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\src\redux\reducers\userReducer.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 4, 42
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\src\redux\store\store.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\src\reset.css", "CSS", 0, 0, 0, 42, 0, 0, 0, 0, 5, 1, 48
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\src\routes.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\src\serviceWorker.js", "JavaScript", 0, 98, 0, 0, 0, 0, 0, 0, 31, 13, 142
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 15300, 621, 37, 91, 61, 20, 7, 687, 113, 297, 17234
